name,n_mutants,spearman,ndcg,top_recall_10pct,mean_plddt
DYR_ECOLI_Thompson_2019,2363,0.47990344390246953,0.9356544357655224,0.1940928270042194,96.318115234375
ENVZ_ECOLI_Ghose_2023,1121,0.2515278350982499,0.9373395683412195,0.09734513274336283,92.43216705322266
ENV_HV1B9_DuenasDecamp_2016,375,0.2741520062109747,0.758006218408609,0.10526315789473684,73.97183990478516
ENV_HV1BR_Haddox_2016,12863,0.2832442533205228,0.7575721115235006,0.13131313131313133,74.22402954101562
EPHB2_HUMAN_Tsuboyama_2023_1F0M,1960,0.8505310169233261,0.9621077051318235,0.42346938775510207,97.2713623046875
ERBB2_HUMAN_Elazar_2016,326,0.593077136557085,0.9146708384233461,0.21212121212121213,73.24974822998047
ESTA_BACSU_Nutschel_2020,2172,0.32987532992866375,0.7885222737509652,0.20642201834862386,91.70472717285156
F7YBW7_MESOW_Ding_2023,7922,0.6928797695571537,0.959255873803848,0.39974779319041615,93.63645935058594
F7YBW8_MESOW_Aakre_2015,9192,0.10541442090545172,0.712009533962759,0.05434782608695652,93.63645935058594
FECA_ECOLI_Tsuboyama_2023_2D1U,1886,0.5943580439860277,0.8305170838754051,0.2751322751322751,93.51472473144531
FKBP3_HUMAN_Tsuboyama_2023_2KFV,1237,0.5927715084440013,0.9236388515684202,0.16129032258064516,91.23188781738281
GAL4_YEAST_Kitzman_2015,1195,0.5808820766644139,0.6090227444739434,0.21666666666666667,66.09046173095703
GCN4_YEAST_Staller_2018,2638,0.24908949566362543,0.8894694146267595,0.20833333333333334,62.67597579956055
GDIA_HUMAN_Silverstein_2021,1154,0.4062827398134488,0.9627479664703155,0.11206896551724138,94.44818878173828
GFP_AEQVI_Sarkisyan_2016,51714,0.688260647075045,0.9734563790610593,0.2548337200309358,96.86991119384766
GLPA_HUMAN_Elazar_2016,245,0.5678357228537159,0.8606891766561914,0.44,58.305274963378906
GRB2_HUMAN_Faure_2021,63366,0.717132664988313,0.9748246386087267,0.40066277418336754,88.25515747070312
HCP_LAMBD_Tsuboyama_2023_2L6Q,1040,0.700953438808226,0.9591022257619555,0.3557692307692308,86.32073211669922
HECD1_HUMAN_Tsuboyama_2023_3DKM,5586,0.26066611518528776,0.9031424222677484,0.5330948121645797,94.04110717773438
HEM3_HUMAN_Loggerenberg_2023,5689,0.3832887043476784,0.8865313647588573,0.1335676625659051,91.45033264160156
HIS7_YEAST_Pokusaeva_2019,496137,0.5524711195363886,0.9795766843633568,0.20435764098843068,95.25495910644531
HMDH_HUMAN_Jiang_2019,16853,0.32037533855252853,0.932965156627302,0.12930011862396204,76.59834289550781
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,2252,0.23255763197646986,0.9866005168384155,0.12831858407079647,84.9645004272461
HSP82_YEAST_Flynn_2019,13294,0.33722727357005033,0.9555183164628536,0.11578947368421053,84.9645004272461
HSP82_YEAST_Mishra_2016,4323,0.42868490083715205,0.9830425281449889,0.11316397228637413,84.9645004272461
HXK4_HUMAN_Gersing_2022_activity,8570,0.47873116445073843,0.7198920331902509,0.1411901983663944,94.04448699951172
HXK4_HUMAN_Gersing_2023_abundance,8396,0.3992184807197048,0.9704919470550132,0.1488095238095238,94.04448699951172
I6TAH8_I68A0_Doud_2015,9462,0.26150538410738317,0.8313747617369028,0.1446673706441394,87.02687072753906
IF1_ECOLI_Kelsic_2016,1367,0.43502896336764746,0.980327170063188,0.12408759124087591,85.27263641357422
ILF3_HUMAN_Tsuboyama_2023_2L33,1329,0.5261094770296244,0.915128059770416,0.13533834586466165,94.51859283447266
ISDH_STAAW_Tsuboyama_2023_2LHR,1944,0.5871559428477877,0.950070199734279,0.3333333333333333,91.35236358642578
