name,n_mutants,spearman,ndcg,top_recall_10pct,mean_plddt,fold,p0,T
GAL4_YEAST_Kitzman_2015,1195,0.5146928150268169,0.571010016326971,0.175,66.09046173095703,2,40.0,5.0
GCN4_YEAST_Staller_2018,2638,0.23923183921088084,0.8911356163066965,0.2159090909090909,62.67597579956055,0,40.0,5.0
GDIA_HUMAN_Silverstein_2021,1154,0.33610026414241967,0.9623459043779848,0.13793103448275862,94.44818878173828,3,40.0,5.0
GFP_AEQVI_Sarkisyan_2016,51714,0.6768405269926951,0.978801196263283,0.2397525135344161,96.86991119384766,3,40.0,5.0
GLPA_HUMAN_Elazar_2016,245,0.5826542852246858,0.87032599365792,0.44,58.305274963378906,0,40.0,5.0
GRB2_HUMAN_Faure_2021,63366,0.6801264258589873,0.970316961404294,0.3441691652201357,88.25515747070312,4,40.0,5.0
HCP_LAMBD_Tsuboyama_2023_2L6Q,1040,0.6526651353156833,0.9429386629235571,0.34615384615384615,86.32073211669922,1,40.0,5.0
HECD1_HUMAN_Tsuboyama_2023_3DKM,5586,0.26854916635110265,0.883094271703449,0.38461538461538464,94.04110717773438,0,40.0,5.0
HEM3_HUMAN_Loggerenberg_2023,5689,0.30437405845810317,0.8812484927642361,0.13181019332161686,91.45033264160156,0,40.0,5.0
HIS7_YEAST_Pokusaeva_2019,496137,0.4233497174983252,0.971674588986902,0.16350223727173782,95.25495910644531,4,40.0,5.0
HMDH_HUMAN_Jiang_2019,16853,0.14387728712073614,0.9253866441374757,0.0966785290628707,76.59834289550781,0,40.0,5.0
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,2252,0.13410755065523824,0.9819961428102039,0.11504424778761062,84.9645004272461,0,40.0,5.0
HSP82_YEAST_Flynn_2019,13294,0.23390216339739145,0.9545141354676778,0.13157894736842105,84.9645004272461,4,40.0,5.0
HSP82_YEAST_Mishra_2016,4323,0.2857391342144277,0.9754352341808765,0.09237875288683603,84.9645004272461,4,40.0,5.0
HXK4_HUMAN_Gersing_2022_activity,8570,0.3112528888453695,0.7139026639286565,0.14585764294049008,94.04448699951172,4,40.0,5.0
HXK4_HUMAN_Gersing_2023_abundance,8396,0.31318278739763866,0.9660625423175591,0.1261904761904762,94.04448699951172,3,40.0,5.0
I6TAH8_I68A0_Doud_2015,9462,0.23207356333217458,0.8384673302393483,0.17423442449841606,87.02687072753906,1,40.0,5.0
IF1_ECOLI_Kelsic_2016,1367,0.5274345483519873,0.9850840884818723,0.17518248175182483,85.27263641357422,3,40.0,5.0
ILF3_HUMAN_Tsuboyama_2023_2L33,1329,0.44979615674122353,0.9099541260618945,0.15037593984962405,94.51859283447266,2,40.0,5.0
ISDH_STAAW_Tsuboyama_2023_2LHR,1944,0.6298951747515155,0.9457813389335278,0.36923076923076925,91.35236358642578,0,40.0,5.0
KCNE1_HUMAN_Muhammad_2023_expression,2339,0.2366977287283974,0.9049750668139861,0.05555555555555555,68.3093032836914,1,40.0,5.0
KCNE1_HUMAN_Muhammad_2023_function,2315,0.29272770572835166,0.9338553038898849,0.1896551724137931,68.3093032836914,3,40.0,5.0
KCNH2_HUMAN_Kozek_2020,200,0.6729438235955899,,0.15,61.26321029663086,3,40.0,5.0
KCNJ2_MOUSE_Coyote-Maestas_2022_function,6963,0.1621962984779913,0.8999977950674005,0.10043041606886657,80.52477264404297,1,40.0,5.0
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,6917,0.28297156174641686,0.812241309150401,0.16184971098265896,80.4336929321289,2,40.0,5.0
KKA2_KLEPN_Melnikov_2014,4960,0.5458013994590419,0.8080614179302931,0.1814516129032258,94.40950775146484,0,40.0,5.0
LGK_LIPST_Klesmith_2015,7890,0.34522212373911365,0.9568386341191059,0.15716096324461343,97.27772521972656,1,40.0,5.0
LYAM1_HUMAN_Elazar_2016,359,0.5204236447471808,0.7759735671382814,0.25,85.28120422363281,0,40.0,5.0
MAFG_MOUSE_Tsuboyama_2023_1K1V,1429,0.8262285925763084,0.9574480300705912,0.3916083916083916,94.05194854736328,0,40.0,5.0
MBD11_ARATH_Tsuboyama_2023_6ACV,2116,0.77204551538306,0.918073520201221,0.29245283018867924,83.3412094116211,1,40.0,5.0
MET_HUMAN_Estevam_2023,5393,0.5131508709266417,0.9164796939971811,0.14814814814814814,90.19418334960938,1,40.0,5.0
MK01_HUMAN_Brenan_2016,6809,0.17620462079485527,0.7604097953528931,0.09544787077826726,90.79547119140625,4,40.0,5.0
MLAC_ECOLI_MacRae_2023,4007,0.30799147238235036,0.9707223932419711,0.11970074812967581,91.4463119506836,4,40.0,5.0
MSH2_HUMAN_Jia_2020,16749,0.2733577690103904,0.857115402287533,0.11940298507462686,87.88512420654297,1,40.0,5.0
MTH3_HAEAE_RockahShmuel_2015,1777,0.4436428445116603,0.8943511232034232,0.20224719101123595,93.53160858154297,0,40.0,5.0
MTHR_HUMAN_Weile_2021,12464,0.28029239938494693,0.9602169360341376,0.11788291900561347,87.88263702392578,0,40.0,5.0
MYO3_YEAST_Tsuboyama_2023_2BTT,3297,0.5750634065681327,0.8537076314303161,0.23333333333333334,96.45196533203125,0,40.0,5.0
NCAP_I34A1_Doud_2015,9462,0.22743907851001716,0.8037620657628979,0.14994720168954592,86.4947280883789,4,40.0,5.0
NKX31_HUMAN_Tsuboyama_2023_2L9R,2482,0.6688361442271941,0.9546509010338357,0.42971887550200805,92.04705047607422,0,40.0,5.0
NPC1_HUMAN_Erwood_2022_HEK293T,637,0.46741338408779626,0.930360227037532,0.140625,86.25049591064453,2,40.0,5.0
NPC1_HUMAN_Erwood_2022_RPE1,63,0.7896985407066052,0.9703411662998402,0.2857142857142857,86.25049591064453,4,40.0,5.0
NRAM_I33A0_Jiang_2016,298,0.6294202830531981,0.9148621723370328,0.23333333333333334,92.3857421875,2,40.0,5.0
NUD15_HUMAN_Suiter_2020,2844,0.6273835757813038,0.9449442083015523,0.18596491228070175,95.50664520263672,2,40.0,5.0
NUSA_ECOLI_Tsuboyama_2023_1WCL,2028,0.7683580234036288,0.9135208979202818,0.270935960591133,95.7746353149414,3,40.0,5.0
NUSG_MYCTU_Tsuboyama_2023_2MI6,1380,0.6974497237825368,0.9192534181069124,0.2753623188405797,91.931640625,3,40.0,5.0
OBSCN_HUMAN_Tsuboyama_2023_1V1C,3197,0.7587996661862515,0.9272866000909531,0.528125,94.0158462524414,1,40.0,5.0
ODP2_GEOSE_Tsuboyama_2023_1W4G,1134,0.3774265595830114,0.9224173716253171,0.22807017543859648,90.46794891357422,0,40.0,5.0
OPSD_HUMAN_Wan_2019,165,0.523449897149574,0.7063237685229387,0.4117647058823529,87.75,2,40.0,5.0
OTC_HUMAN_Lo_2023,1570,0.48719793173655973,0.9082891490085064,0.2802547770700637,91.49287414550781,2,40.0,5.0
OTU7A_HUMAN_Tsuboyama_2023_2L2D,635,0.5967004213753679,0.9021586339304478,0.25,91.68928527832031,4,40.0,5.0
OXDA_RHOTO_Vanella_2023_activity,6396,0.18857022794007733,0.8993670079602705,0.1203125,96.30146026611328,3,40.0,5.0
OXDA_RHOTO_Vanella_2023_expression,6769,0.3786127931998968,0.9551745201266847,0.1344165435745938,96.30146026611328,4,40.0,5.0
P53_HUMAN_Giacomelli_2018_Null_Etoposide,7467,0.4697714964531028,0.9365125375518852,0.15796519410977242,72.57445526123047,1,40.0,5.0
P53_HUMAN_Giacomelli_2018_Null_Nutlin,7467,0.46035634820435006,0.7820741098446036,0.16198125836680052,72.60610961914062,1,40.0,5.0
P53_HUMAN_Giacomelli_2018_WT_Nutlin,7467,0.5061460432572021,0.8802424514400065,0.13654618473895583,72.60610961914062,0,40.0,5.0
P53_HUMAN_Kotler_2018,1048,0.6820360714290853,0.899199819662077,0.2857142857142857,73.35628509521484,2,40.0,5.0
P84126_THETH_Chan_2017,1519,0.6918900331397537,0.955411974667018,0.4407894736842105,97.42200469970703,4,40.0,5.0
PABP_YEAST_Melamed_2013,37708,0.6975098474232748,0.9421062103248732,0.2230177671705118,81.49758911132812,4,40.0,5.0
PAI1_HUMAN_Huttinger_2021,5345,0.3056323969576719,0.8779268846495182,0.17383177570093458,88.6141586303711,1,40.0,5.0
PA_I34A1_Wu_2015,1820,0.20462701186234006,0.41176827634287666,0.12087912087912088,92.30169677734375,0,40.0,5.0
PHOT_CHLRE_Chen_2023,167529,0.36830635336146644,0.9681579446490979,0.2875305915358443,94.02269744873047,0,40.0,5.0
PIN1_HUMAN_Tsuboyama_2023_1I6C,802,0.722048277843644,0.93927156378072,0.37037037037037035,87.37641906738281,3,40.0,5.0
PITX2_HUMAN_Tsuboyama_2023_2L7M,1824,0.6382510882930243,0.9325333013132258,0.3333333333333333,96.44596099853516,2,40.0,5.0
PKN1_HUMAN_Tsuboyama_2023_1URF,1301,0.5356400838010517,0.9508852290296695,0.24427480916030533,91.79802703857422,4,40.0,5.0
POLG_CXB3N_Mattenberger_2021,15711,0.06506951175135467,0.8130196277108449,0.08778625954198473,73.65873718261719,3,40.0,5.0
POLG_DEN26_Suphatrakul_2023,16897,0.175754735879518,0.7849852237485785,0.12366863905325444,94.45722198486328,1,40.0,5.0
POLG_HCVJF_Qi_2014,1630,0.28912186709592547,0.7342992601771078,0.12883435582822086,59.816864013671875,1,40.0,5.0
POLG_PESV_Tsuboyama_2023_2MXD,5130,0.8152060202796664,0.9355327767580055,0.5614035087719298,92.0079116821289,2,40.0,5.0
PPARG_HUMAN_Majithia_2016,9576,0.31401312819384425,0.7963132364469688,0.10334029227557412,75.26326751708984,1,40.0,5.0
PPM1D_HUMAN_Miller_2022,7889,0.2740492220573635,0.9487201036453439,0.12547528517110265,66.33952331542969,1,40.0,5.0
PR40A_HUMAN_Tsuboyama_2023_1UZC,2033,0.7761520980860376,0.9438551718036219,0.35294117647058826,84.60904693603516,3,40.0,5.0
PRKN_HUMAN_Clausen_2023,8756,0.46204001619270785,0.9568363617060005,0.16210045662100456,77.1861343383789,0,40.0,5.0
PSAE_SYNP2_Tsuboyama_2023_1PSE,1579,0.6256765752479442,0.8697543400956445,0.14556962025316456,94.00294494628906,3,40.0,5.0
PTEN_HUMAN_Matreyek_2021,5083,0.502674980162713,0.9558331273817674,0.16110019646365423,82.80970764160156,2,40.0,5.0
PTEN_HUMAN_Mighell_2018,7260,0.4497056862137097,0.9076322887107817,0.15289256198347106,82.80970764160156,2,40.0,5.0
Q2N0S5_9HIV1_Haddox_2018,12729,0.4132156329255144,0.8479407771861411,0.17282010997643363,74.36909484863281,1,40.0,5.0
