name,n_mutants,spearman,ndcg,top_recall_10pct,mean_plddt
CAR11_HUMAN_Meitlis_2020_lof,2395,0.4633426451452467,0.8913610630832166,0.08333333333333333,70.44123840332031
CAS9_STRP1_Spencer_2017_positive,8117,0.16315087757162594,0.8798292534980594,0.10344827586206896,87.79644775390625
CASP3_HUMAN_Roychowdhury_2020,1567,0.5235869386447741,0.9217689071168443,0.17834394904458598,88.63593292236328
CASP7_HUMAN_Roychowdhury_2020,1680,0.5009962016608668,0.8065431574079794,0.1488095238095238,83.18712615966797
CATR_CHLRE_Tsuboyama_2023_2AMI,1903,0.7348178989391497,0.9168225454307718,0.193717277486911,94.2004165649414
CBPA2_HUMAN_Tsuboyama_2023_1O6X,2068,0.8689076550077943,0.9614820456183452,0.3719806763285024,93.34833526611328
CBS_HUMAN_Sun_2020,7217,0.2929298492458326,0.8461665287290946,0.09833795013850416,91.29949188232422
CBX4_HUMAN_Tsuboyama_2023_2K28,2282,0.6094116688891414,0.9334523669736285,0.5109170305676856,94.806396484375
CCDB_ECOLI_Adkar_2012,1176,0.4152040695164323,0.7204812089345711,0.1864406779661017,95.96742248535156
CCDB_ECOLI_Tripathi_2016,1663,0.48464291582756486,0.9881810267697442,0.12574850299401197,95.96742248535156
CCR5_HUMAN_Gill_2023,6137,0.3623504537315963,0.9008632495441568,0.15798045602605862,82.46289825439453
CD19_HUMAN_Klesmith_2019_FMC_singles,3761,0.25180186565264934,0.3704241284804744,0.22546419098143236,61.50908279418945
CP2C9_HUMAN_Amorosi_2021_abundance,6370,0.6388910682141012,0.9680567472801711,0.2087912087912088,93.41902160644531
CP2C9_HUMAN_Amorosi_2021_activity,6142,0.6548780101071211,0.9465641004675953,0.25203252032520324,93.41902160644531
CSN4_MOUSE_Tsuboyama_2023_1UFM,3295,0.7578963225912252,0.9389963910833967,0.4727272727272727,93.27791595458984
CUE1_YEAST_Tsuboyama_2023_2MYX,1580,0.6425108194197353,0.90613479251252,0.35443037974683544,97.00135040283203
D7PM05_CLYGR_Somermeyer_2022,24515,0.5261564535607886,,0.21818923327895595,97.0943832397461
DLG4_HUMAN_Faure_2021,6976,0.7469390341782582,0.976696014654854,0.31805157593123207,77.13037109375
DLG4_RAT_McLaughlin_2012,1576,0.5293019880017361,0.9781127474952852,0.12025316455696203,77.40716552734375
DN7A_SACS2_Tsuboyama_2023_1JIC,1008,0.6964119983561198,0.9663141779692935,0.44554455445544555,89.91655731201172
DNJA1_HUMAN_Tsuboyama_2023_2LO1,2264,0.8413832329837597,0.9494399447659214,0.3920704845814978,89.92707824707031
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,2915,0.5936352237302325,0.9165675638809392,0.4554794520547945,92.51258087158203
DYR_ECOLI_Nguyen_2023,2916,0.4653950051011613,0.986885668244152,0.1780821917808219,96.318115234375
DYR_ECOLI_Thompson_2019,2363,0.4801007251251105,0.9357087816007934,0.19831223628691982,96.318115234375
ENVZ_ECOLI_Ghose_2023,1121,0.2520573067304587,0.9380773821539741,0.08849557522123894,92.43216705322266
ENV_HV1B9_DuenasDecamp_2016,375,0.25116685597426375,0.7361724796564991,0.07894736842105263,73.97183990478516
ENV_HV1BR_Haddox_2016,12863,0.2720201709631818,0.7558264029866338,0.1250971250971251,74.22402954101562
EPHB2_HUMAN_Tsuboyama_2023_1F0M,1960,0.8510756689533474,0.9624394836242343,0.4336734693877551,97.2713623046875
ERBB2_HUMAN_Elazar_2016,326,0.5770493166022753,0.9082352847571448,0.18181818181818182,73.24974822998047
ESTA_BACSU_Nutschel_2020,2172,0.33029158598040714,0.7895313037861879,0.21100917431192662,91.70472717285156
